idlocalizacao,cep,numero_imovel,complemento,referencia,cidade,categoria
11896,01555-760,408,Bloco,Neque.,Dias de Minas,disponível
65929,73405-661,9442,Bloco,Vitae neque.,Lima de da Costa,alugado
87743,92303030,1438,Edifício,Nisi necessitatibus.,Mendonça das Flores,alugado
71323,16207-281,634,Bloco,Dolor deserunt.,Sousa dos Dourados,alugado
93247,07784-731,3753,Bloco,Nihil impedit.,Nunes de Oliveira,alugado
12971,80521809,956,Casa,Nobis velit.,Casa Grande das Pedras,alugado
6772,44502996,1794,Apto,Quae.,Ferreira,disponível
98111,15390-997,27,Apto,A.,Lopes,disponível
46828,68664744,5933,Edifício,Harum.,Moura Grande,alugado
41805,93096-628,7293,Edifício,Quae provident.,Martins da Prata,alugado
12691,05862548,2287,Apto,Provident cupiditate.,Pires Paulista,reservado
70137,83539367,9065,Casa,Blanditiis pariatur.,Moura,disponível
91143,17680-096,623,Edifício,Aspernatur quas.,Moura,disponível
4303,68828289,155,Edifício,Non.,Vieira,alugado
57816,81874-111,2504,Edifício,Exercitationem.,Moreira de Goiás,reservado
49996,15128-234,9183,Edifício,Architecto odio.,Lima da Serra,disponível
85921,12524-846,5433,Edifício,Perspiciatis.,Novais,disponível
92862,97886-306,81,Casa,Esse perspiciatis.,da Mota,alugado
77376,63834-815,8578,Edifício,Nemo.,Rios do Norte,reservado
68743,02503104,3883,Casa,Porro fugiat.,Moreira,reservado
12082,32043478,2136,Casa,Facere fugiat.,Albuquerque Verde,alugado
51307,28943986,7263,Edifício,Laborum.,Oliveira do Galho,alugado
20319,92058-467,8327,Casa,Consectetur.,Viana da Mata,reservado
78919,06855060,5734,Bloco,Hic.,Garcia,disponível
45474,13864-377,4469,Apto,Fuga repudiandae.,Carvalho de Monteiro,disponível
39548,83955800,5537,Apto,Eveniet dolor.,das Neves,alugado
88904,89345-287,4981,Apto,Aliquam mollitia.,da Rocha,alugado
1168,27486-720,1666,Edifício,Quos.,Cavalcante do Campo,reservado
55545,68510537,608,Edifício,Harum nostrum.,Fogaça de Brito,disponível
87016,12015265,7089,Apto,Est.,Ribeiro da Serra,disponível
29240,75509-688,6330,Apto,Velit ex.,Câmara,reservado
77154,71112610,6975,Apto,Harum.,Ramos Paulista,alugado
86530,69809-053,2391,Edifício,Inventore sapiente.,Pimenta do Oeste,alugado
27367,16068-342,16,Casa,Neque nemo.,da Rocha,reservado
99191,07132024,7846,Bloco,Et.,Freitas,disponível
54920,95641719,2542,Bloco,Odit in.,Moreira,reservado
85993,87076-454,1757,Bloco,Asperiores quaerat.,Araújo do Galho,disponível
15837,50793907,8857,Casa,Sint quae.,Carvalho de Duarte,disponível
25590,38126943,3369,Casa,Porro.,Ribeiro Verde,reservado
42427,77296-144,9980,Casa,Perferendis.,Castro,alugado
20936,92311942,7803,Apto,Corrupti.,da Cruz,reservado
30368,48422332,3885,Bloco,Perspiciatis.,Lima do Sul,alugado
93030,25139313,9675,Apto,Necessitatibus.,Novaes,disponível
88449,76911911,2419,Casa,Eaque.,Cunha,alugado
61866,85447-753,9623,Apto,Omnis.,Ribeiro,reservado
3525,15215-805,5572,Apto,Fuga sint.,Pereira,alugado
63166,20733240,8042,Apto,Veniam.,Moreira,alugado
10737,24533693,3657,Edifício,Nisi voluptatibus.,Garcia,disponível
21349,61295-768,8018,Bloco,Veritatis et.,Pereira,alugado
10831,27546806,322,Apto,Exercitationem eius.,da Conceição das Pedras,disponível
90176,68019938,2935,Apto,Ut.,Correia das Pedras,reservado
28632,40418577,9785,Casa,Neque officiis.,Casa Grande,disponível
79782,68824-666,8157,Bloco,Pariatur.,Lima,disponível
78194,48578012,4413,Edifício,Qui.,Viana da Prata,disponível
43857,64558-302,2816,Bloco,Natus.,Azevedo,reservado
56979,56957195,8789,Apto,Odio nostrum.,Castro,reservado
88192,09092-625,8281,Bloco,Quia.,Nogueira,reservado
14590,30128848,6054,Casa,Architecto incidunt.,Rocha do Norte,alugado
26698,43730215,2723,Edifício,Aliquam.,Carvalho,reservado
62374,90943-397,5561,Apto,Exercitationem.,das Neves,disponível
67358,29539938,8880,Apto,Sequi.,Pastor,reservado
82023,57748967,4902,Casa,Modi voluptatum.,Andrade Alegre,alugado
65598,55021-215,2466,Edifício,Nam fugit.,Lopes das Pedras,reservado
66003,74404-175,5279,Apto,Quam error.,Moreira,alugado
1854,07095-907,2150,Casa,Nesciunt.,Abreu,disponível
28364,13217-484,1998,Edifício,Minus.,Pimenta,alugado
56163,43822322,6430,Casa,Ullam.,das Neves da Praia,disponível
5253,60514-511,9740,Bloco,Voluptate.,Carvalho de Borges,reservado
44617,37980227,3906,Casa,Dolorem.,Carvalho,reservado
44336,48273146,9240,Apto,Fuga.,Duarte de Goiás,alugado
73786,97628610,320,Apto,Sint repellat.,Almeida da Mata,disponível
53091,47910-664,5605,Bloco,Enim non.,Cirino Paulista,alugado
27765,62997-915,9229,Bloco,Esse.,Macedo de Siqueira,disponível
87031,36485-502,9318,Casa,Laudantium quod.,Cardoso da Prata,alugado
29014,46136-222,8872,Edifício,Facilis vitae.,Barbosa Grande,alugado
28602,90343-658,3990,Apto,Recusandae.,Vargas de Goiás,reservado
8368,89078-629,1214,Apto,Ipsum.,Cavalcante,reservado
37058,57227898,7447,Bloco,Officia earum.,da Conceição,reservado
95872,83214141,8549,Apto,Voluptates tempora.,Rocha das Flores,reservado
20186,71841470,9760,Bloco,Quas doloremque.,Costela da Prata,alugado
96299,91409704,186,Apto,Earum facilis.,Machado das Pedras,reservado
91248,47085-770,4044,Apto,Sit.,Costela da Prata,alugado
21126,78474-894,2603,Edifício,Aliquam saepe.,Gonçalves de Sousa,disponível
18452,73495-454,9932,Edifício,Quidem praesentium.,Almeida,alugado
80560,77575782,873,Bloco,Enim.,Camargo da Praia,reservado
5936,04875783,4680,Apto,Omnis fuga.,Azevedo,alugado
37134,20859-420,5534,Casa,Ex.,Guerra,alugado
575,80668922,5917,Casa,Minima.,da Mata de Vasconcelos,reservado
45491,44770-048,7042,Apto,Voluptate.,Siqueira,reservado
97934,06566073,7180,Bloco,Ducimus esse.,Lima do Amparo,disponível
81453,05360187,7042,Edifício,Quos aperiam.,Cavalcante,reservado
39004,17974865,4312,Casa,Qui.,da Conceição,disponível
25182,84973963,138,Edifício,Iste saepe.,Silveira da Mata,reservado
75009,09781170,1762,Bloco,Impedit reprehenderit.,Pacheco Paulista,alugado
54557,80717-755,857,Edifício,Distinctio.,Rezende,disponível
89409,24272286,6963,Bloco,In.,Casa Grande,disponível
73639,56218605,4030,Edifício,Aliquid id.,Ribeiro das Pedras,alugado
71058,26254892,9122,Apto,Similique.,Melo,alugado
56861,14851089,8730,Edifício,Suscipit.,Silveira de Cirino,alugado
86002,84161-502,7080,Apto,Totam sapiente.,Pacheco do Oeste,reservado
80421,14764-861,1338,Bloco,Molestiae exercitationem.,da Rosa,reservado
31420,45723125,4276,Bloco,Provident.,Mendes,reservado
33134,26095719,5412,Apto,Illum.,Macedo,disponível
22664,65032-126,2824,Edifício,Maxime unde.,Cavalcanti do Amparo,disponível
40239,37532611,4026,Casa,Aut.,Dias,reservado
44707,70048-055,6323,Bloco,Consequuntur exercitationem.,Aragão do Norte,disponível
3192,13511648,2200,Casa,Impedit.,Azevedo,disponível
64582,64475-421,6716,Bloco,Ex exercitationem.,Duarte,disponível
79617,71266744,3288,Casa,Voluptates.,Gonçalves,reservado
47463,41816-892,6798,Casa,Saepe.,Pires,alugado
64315,51201-426,4623,Casa,Officiis.,Freitas,alugado
75657,65061921,6385,Casa,Corrupti.,Fonseca,disponível
52849,34129-476,9417,Edifício,Numquam ratione.,Porto Paulista,alugado
78757,78937-091,2487,Bloco,Sequi ab.,Freitas,alugado
87175,56849-643,9397,Casa,Assumenda et.,Melo,alugado
56435,27008822,6130,Edifício,Corrupti veniam.,Cirino do Oeste,alugado
32173,59236-246,3130,Casa,Aperiam.,Andrade de Minas,disponível
73199,22568839,1179,Apto,Sequi voluptatem.,Duarte,disponível
78427,87223-041,1511,Bloco,Suscipit.,Moraes,disponível
17165,31407168,4503,Edifício,Itaque.,Silva,alugado
62804,32489-533,7246,Edifício,Officia libero.,Barbosa da Praia,alugado
33701,82426-876,2509,Edifício,Corporis.,Ferreira,disponível
91219,18458328,7730,Bloco,Recusandae asperiores.,Sá,disponível
63917,95885-767,72,Apto,Reiciendis quo.,Moreira de Novais,reservado
3124,59923673,453,Casa,Perferendis.,Leão,disponível
17167,75060-585,9201,Bloco,Quis.,Sá,disponível
64024,07695559,7563,Edifício,Vel.,Guerra,disponível
5500,12762-563,7102,Bloco,Inventore.,Cavalcante de Oliveira,disponível
29018,63236-701,3522,Bloco,Atque fuga.,Carvalho de Pinto,alugado
44951,19693050,5662,Casa,Nihil corporis.,Aparecida,disponível
24634,55152-014,9832,Apto,Unde.,Melo de Costela,reservado
70471,25023-575,8359,Edifício,Omnis libero.,Ferreira do Sul,alugado
58590,73457051,1217,Bloco,Rerum.,Gomes,reservado
32012,02962-888,2950,Apto,Placeat officiis.,Cardoso das Pedras,alugado
17785,78236122,920,Bloco,Illo.,Andrade de Cirino,disponível
78886,10566-440,7723,Apto,Commodi assumenda.,Monteiro,disponível
90583,11057276,5233,Casa,Neque est.,da Luz,alugado
77470,97615616,1123,Apto,Sequi.,Fernandes do Amparo,alugado
4015,20155787,201,Bloco,Error.,Pastor do Oeste,disponível
12449,14425521,2753,Casa,Optio sequi.,Moura,alugado
55292,70611-089,9771,Bloco,Aliquid.,Marques do Norte,disponível
66995,55809247,7153,Bloco,Aliquid officia.,Caldeira dos Dourados,reservado
78174,34876493,6517,Apto,Quod libero.,Cirino,alugado
40926,41967167,2002,Apto,Quasi.,Cirino de Goiás,alugado
83440,39334-679,5874,Apto,Necessitatibus doloribus.,Cirino da Praia,alugado
87736,70720-811,9212,Bloco,Cum.,Rodrigues,alugado
80630,58865-212,552,Edifício,Inventore rem.,Andrade,disponível
63057,51496-930,962,Casa,Pariatur.,Sampaio,reservado
28825,19919630,7699,Casa,Inventore.,Vasconcelos,disponível
80462,98625-306,6782,Edifício,Ut.,Correia,disponível
83543,65574424,5825,Apto,Accusantium.,Sá,alugado
69089,16578706,1810,Apto,Quasi dolor.,Novaes do Campo,alugado
13276,14211744,202,Casa,Harum.,Rezende,disponível
1449,63830561,531,Casa,Id tempora.,Pinto de Camargo,alugado
49504,99014-936,3708,Casa,Ipsam alias.,Duarte,alugado
36920,28151555,1942,Apto,Aut numquam.,Porto Alegre,reservado
28973,09902-119,5148,Casa,Itaque sint.,Rios do Galho,disponível
48584,79717196,2289,Casa,Eaque eos.,Oliveira do Galho,reservado
55100,19507-452,289,Bloco,Maxime dolor.,Gonçalves Alegre,alugado
51327,78100-195,5177,Apto,Architecto suscipit.,Cavalcanti de Sousa,disponível
22843,42457-552,7823,Casa,Veniam delectus.,Azevedo,reservado
94917,59474-573,5775,Edifício,A natus.,Vargas,reservado
24235,85324-181,8207,Bloco,Sunt aliquam.,Correia,disponível
96810,32988-711,2474,Casa,Maxime laboriosam.,Rocha,alugado
96750,08512816,347,Apto,Exercitationem.,Rezende,reservado
19832,64881-246,1646,Casa,Est.,Correia de Minas,disponível
11754,97178-742,6376,Apto,Nemo recusandae.,Melo,reservado
37583,12229806,9858,Casa,Harum consectetur.,Dias,alugado
9623,95904349,4477,Bloco,Placeat ipsa.,Pacheco,reservado
93926,40167-304,7730,Apto,Quaerat occaecati.,Gomes da Prata,reservado
53803,20258-106,6178,Bloco,Temporibus quas.,da Rocha,disponível
81168,65649-921,3566,Casa,Dolorem reprehenderit.,Garcia do Oeste,disponível
94143,87810-900,8718,Bloco,Autem qui.,Sá,alugado
36800,43660934,7400,Bloco,Omnis.,da Costa da Prata,disponível
27297,39250-358,3132,Edifício,Maiores.,Nogueira,reservado
93200,02597715,536,Casa,Dolor aliquam.,da Rosa de Cunha,reservado
84612,31281395,889,Bloco,Quisquam.,Caldeira da Mata,alugado
43552,66537252,6661,Apto,Tempora.,Fonseca,disponível
92246,96788-095,7760,Edifício,Quod.,Campos,disponível
37149,18574034,437,Apto,Culpa.,Cardoso,alugado
39784,10035032,7195,Casa,Accusantium.,Andrade de Carvalho,reservado
60573,74397208,7458,Bloco,Saepe.,Rodrigues de Dias,disponível
2440,33334789,8438,Bloco,Labore eligendi.,Pimenta de Goiás,alugado
56371,17205024,7717,Edifício,Nam.,Novaes Paulista,reservado
74563,62714-994,4333,Edifício,Vero architecto.,Sales Paulista,alugado
29325,01240018,8610,Apto,Sint in.,Cirino,reservado
85532,26853081,1805,Bloco,Soluta architecto.,Oliveira,reservado
64134,88276-393,6144,Bloco,Voluptates illo.,Aragão,alugado
79293,83268317,4048,Apto,Quas.,Mendonça,alugado
36017,53095387,8374,Bloco,Facilis placeat.,Câmara,reservado
83181,49548-453,7752,Edifício,Dolore.,da Mata,alugado
98458,67441-111,9059,Apto,Harum esse.,Alves das Flores,alugado
89753,68297897,6863,Apto,Similique nemo.,Rios,disponível
1644,36860530,7646,Edifício,Sapiente sapiente.,Rios do Norte,alugado
26893,20204628,3345,Bloco,Atque.,Ferreira,reservado
35129,81922-112,3311,Apto,Sapiente perspiciatis.,Santos,disponível
38203,24139-528,2043,Edifício,Quod libero.,Sales,alugado
92659,14640531,5496,Casa,Repudiandae debitis.,Moura de Jesus,disponível
6175,85523-235,3165,Apto,Nemo modi.,Lima,alugado
43713,16363972,3168,Apto,Culpa voluptatem.,Albuquerque,reservado
89283,43118-643,7114,Apto,Vel.,Duarte,alugado
99945,33353011,5963,Casa,Ab.,Sá,reservado
15751,46739-907,8742,Casa,Inventore neque.,Caldeira do Sul,reservado
17562,55590919,4285,Edifício,Repellendus.,Fernandes,reservado
17627,76154076,1303,Casa,Quis.,Ribeiro,disponível
49300,97427643,9129,Edifício,Dolor.,Rocha,reservado
33501,13238-899,7907,Edifício,Voluptas.,Almeida da Prata,alugado
23243,76321020,1912,Casa,Qui hic.,da Cunha de Sales,disponível
2735,13001574,1847,Casa,Ea.,Duarte,alugado
89132,19860298,8785,Edifício,Officia pariatur.,Jesus,reservado
98112,40815896,597,Casa,Tempore.,Cirino do Campo,alugado
39009,54517-320,5690,Bloco,Culpa.,Nascimento de Aragão,disponível
1316,26787253,5588,Bloco,Earum.,Moraes,alugado
79319,03382342,914,Edifício,Illo.,Novais,disponível
85619,07960-743,6719,Bloco,Error illum.,Sá do Campo,alugado
16667,40993-669,4900,Casa,Consectetur.,Lopes do Campo,disponível
61197,86738412,6477,Casa,Voluptates.,Marques de Cardoso,reservado
84962,90634363,3694,Bloco,Accusantium ullam.,Lopes,disponível
58867,94981-898,1083,Casa,Cupiditate est.,Cirino,alugado
19171,19823-707,4035,Apto,Aliquid.,Barbosa do Oeste,disponível
28351,78141245,5439,Casa,Nihil veritatis.,Cassiano,reservado
11242,46294101,7003,Edifício,Explicabo.,Campos,reservado
62957,64744-051,2188,Bloco,Hic accusantium.,Costela Grande,alugado
43623,53489-879,851,Edifício,Asperiores debitis.,da Conceição,alugado
5699,74380459,8490,Apto,Possimus.,Machado,disponível
58161,96126540,6192,Apto,Illum.,Dias das Pedras,disponível
8577,25254-529,9863,Casa,Nam.,Pires,disponível
40895,04603034,4665,Casa,Optio eaque.,da Paz do Oeste,disponível
28306,52650-986,6916,Apto,Enim.,Novaes,disponível
81107,12044297,9778,Apto,At quisquam.,da Mata,disponível
5935,35558-094,4849,Apto,Autem dolores.,Farias do Oeste,reservado
67349,89648-339,3784,Casa,Quidem.,Martins das Pedras,alugado
46848,41045746,4679,Casa,Veritatis.,Santos,disponível
69919,30879627,6346,Casa,Voluptatum fugiat.,Farias Paulista,alugado
42145,14686-411,4600,Edifício,At.,Câmara,alugado
21827,19204484,1037,Apto,Rem maxime.,Moraes,disponível
10653,82165-387,4104,Bloco,Quisquam et.,Cardoso do Norte,reservado
25943,05950-778,1334,Bloco,Asperiores dolorum.,da Mata de Minas,reservado
55020,83083-631,3544,Bloco,Facilis.,Freitas,alugado
22465,23839000,8016,Bloco,Dolorum culpa.,Marques do Oeste,reservado
92960,78076960,4250,Edifício,Suscipit ut.,Gomes,alugado
52296,19627913,9429,Casa,Repellendus.,Vasconcelos,disponível
4159,53741511,4318,Bloco,Nihil accusantium.,Teixeira do Campo,reservado
25339,41500-290,8006,Bloco,Aliquam accusantium.,Cassiano de Caldeira,reservado
1996,85674-908,6992,Apto,Similique quis.,Ferreira,disponível
97542,60828-331,1568,Bloco,Dolorem eaque.,Viana,reservado
85135,94276-422,8186,Apto,Eius.,Farias Paulista,alugado
395,96763472,6136,Bloco,Quisquam facere.,Camargo,disponível
10450,14949558,3709,Edifício,Tempore voluptates.,Gomes,reservado
16734,23644854,10,Apto,Itaque.,Monteiro,reservado
36527,86114-877,8300,Edifício,In.,Carvalho,disponível
57772,53396602,8364,Apto,Corrupti.,Cirino da Mata,alugado
55632,58439361,8535,Bloco,Corporis.,Souza das Pedras,alugado
92489,83921-525,9632,Apto,Praesentium et.,Montenegro de Goiás,reservado
80001,18723388,3922,Apto,Soluta.,Pastor do Campo,alugado
58297,77412-135,680,Apto,Recusandae eaque.,Duarte,disponível
4692,84465-602,1147,Edifício,Enim.,da Costa,alugado
85520,62554453,838,Bloco,Porro sapiente.,Peixoto,disponível
76376,01668044,4412,Edifício,Quod eveniet.,Sá de Dias,reservado
73691,11906-881,2626,Apto,Voluptatem.,Marques,disponível
38247,10743024,2861,Bloco,Blanditiis.,Vasconcelos,reservado
37081,70245518,4366,Bloco,Assumenda.,Peixoto,alugado
27060,14057-458,8922,Casa,Qui.,Guerra,disponível
55973,28584-250,6049,Casa,Placeat.,Lopes,disponível
36409,75207111,2409,Bloco,Assumenda.,da Cunha,alugado
91780,67984980,7849,Bloco,Deleniti enim.,Barros da Mata,disponível
21934,92862541,497,Edifício,Aperiam sed.,Rezende de Silva,alugado
80580,28326-608,7736,Edifício,Soluta.,Cavalcanti,disponível
44193,79649326,2831,Bloco,Corporis iure.,Cassiano das Flores,reservado
90493,23203-776,6838,Apto,Necessitatibus.,Ribeiro,reservado
75803,02084-552,1999,Apto,Natus.,Barros,alugado
66249,87565050,4135,Bloco,Debitis labore.,Albuquerque de Silveira,disponível
27688,79589237,133,Apto,Molestias consequuntur.,Cirino de Nascimento,disponível
83127,25633770,9503,Bloco,Incidunt doloremque.,Pacheco da Prata,reservado
82470,02312862,9994,Apto,Sunt a.,Vieira,reservado
63772,37413082,1541,Casa,Quisquam quas.,Cavalcanti Paulista,disponível
52185,41862-558,2076,Edifício,Corrupti.,da Cunha dos Dourados,disponível
69080,11472552,705,Bloco,Ab architecto.,Vasconcelos,disponível
52995,02586-946,2865,Edifício,Inventore.,Almeida,disponível
78052,95563-163,7115,Apto,Tempore.,Silveira,disponível
12650,70716-630,3502,Casa,Atque quam.,Cavalcanti da Prata,alugado
2991,52726-169,4810,Apto,Dignissimos amet.,Brito do Norte,alugado
41410,05574-691,8241,Bloco,Ut ea.,Pastor de Martins,alugado
46760,48383864,2899,Casa,Iusto blanditiis.,Silveira de Mendonça,alugado
18199,77051553,309,Edifício,Laboriosam ut.,Teixeira,reservado
78021,60864-513,6832,Bloco,Libero.,Pereira,alugado
19903,81504644,1677,Apto,Tempore maxime.,Freitas do Galho,alugado
14718,85841989,6050,Bloco,Voluptatum quos.,Gomes de Garcia,reservado
4244,81111-769,9052,Edifício,Totam eius.,Oliveira,disponível
69260,95231-282,5773,Edifício,Esse officiis.,Costa Verde,reservado
29306,25244-027,2806,Casa,Doloribus.,Vieira,alugado
15502,12089088,5292,Edifício,Quo cum.,da Conceição da Mata,disponível
35982,85874-917,9435,Apto,Exercitationem.,Rocha de Nunes,disponível
94794,33261066,583,Casa,Aliquam optio.,Fonseca,disponível
58560,45436743,2220,Apto,Modi.,Mendonça,disponível
68154,64378-088,6354,Casa,Ab.,Cavalcanti do Norte,alugado
70806,23678611,8484,Apto,Recusandae facilis.,Azevedo do Galho,disponível
48426,86899-747,7592,Edifício,Harum.,Pereira,disponível
91392,45352-907,6540,Apto,Rerum qui.,Sousa,reservado
3599,54335-707,7162,Edifício,Reprehenderit amet.,Albuquerque das Pedras,alugado
7292,91318-996,5215,Casa,Cum.,Pastor de Minas,disponível
42098,92304078,5800,Edifício,Deserunt debitis.,Fonseca,disponível
83909,42778011,7364,Apto,Nam.,Viana,disponível
74163,25146-389,1031,Bloco,Blanditiis nobis.,Brito do Galho,reservado
20125,17542758,6840,Apto,Vitae architecto.,Cirino de da Rocha,disponível
22366,32191-257,4086,Edifício,Voluptatem.,Teixeira,reservado
748,98382-433,9227,Edifício,Sapiente non.,Correia,disponível
43068,69717-058,9751,Edifício,Sit repudiandae.,Silveira,alugado
19739,99862827,2250,Apto,Eius optio.,Rocha,alugado
41534,51506711,5981,Bloco,Ullam.,Cavalcante,alugado
93434,22531451,7121,Apto,Et.,Alves da Praia,alugado
8947,24132-880,4416,Bloco,Alias odio.,Melo,disponível
16637,83393-074,3642,Edifício,Cupiditate.,Martins,alugado
17620,31968-564,266,Casa,Voluptas vel.,Caldeira da Serra,reservado
61381,56146160,3192,Casa,Exercitationem eaque.,Vieira,disponível
19157,11636109,5889,Edifício,Tempore nulla.,Araújo da Serra,reservado
23725,52423-763,5574,Casa,Quos.,Fernandes,disponível
37548,69723-805,1125,Edifício,Alias necessitatibus.,Cirino Grande,disponível
74671,04486-469,4517,Casa,Saepe in.,Santos,reservado
18489,81328251,6300,Casa,Vero adipisci.,Abreu Alegre,disponível
43143,95401288,9070,Bloco,Illo praesentium.,Mendonça,alugado
87349,36182724,6771,Casa,Harum.,Gomes do Sul,alugado
48300,20466856,9690,Apto,Provident praesentium.,Rios,reservado
54701,76993962,115,Apto,Enim repudiandae.,Lopes das Pedras,reservado
60691,41782-806,4313,Edifício,Id repudiandae.,Vieira,reservado
94941,91899468,9969,Apto,Iusto officia.,Costela Grande,alugado
65649,96740482,355,Apto,Accusantium.,da Rosa,reservado
18370,54501-507,1710,Apto,Totam eligendi.,Fernandes,reservado
60038,49290-216,7490,Casa,Voluptatem corporis.,Souza de Campos,disponível
57113,65401959,5583,Casa,Deleniti.,Vargas do Norte,disponível
46148,57431043,2398,Casa,Rerum.,Duarte dos Dourados,disponível
59177,43032-959,2433,Casa,Aliquid.,Fogaça,disponível
63037,18797286,95,Apto,Dolore.,Novaes das Flores,reservado
13999,38762429,6150,Apto,Voluptate.,Sousa da Mata,alugado
16726,61815-999,7400,Bloco,Debitis molestiae.,Ramos Verde,alugado
47955,89180-260,9966,Bloco,Doloribus quae.,Rezende,reservado
91284,26701510,3622,Apto,Rem perferendis.,Campos da Prata,reservado
80530,15789-314,741,Casa,Inventore.,Albuquerque das Flores,alugado
74785,69533-188,287,Apto,Porro aperiam.,Sousa,alugado
43728,20265-653,3773,Casa,Ex.,Pereira,alugado
86268,09350609,3046,Edifício,Voluptate veritatis.,Costela da Mata,alugado
62994,71057182,8717,Bloco,Corrupti.,Araújo,disponível
26173,61278630,4232,Apto,Dignissimos.,Albuquerque de Mendes,alugado
20446,33521113,1380,Apto,Nihil repudiandae.,Vasconcelos do Sul,disponível
73624,69373-641,4894,Casa,Fugiat.,Borges,disponível
6445,93624742,4026,Bloco,Expedita.,Cavalcante de Albuquerque,reservado
37755,24409700,659,Apto,Ex cupiditate.,Guerra,reservado
83517,18138830,9180,Bloco,Aliquid nostrum.,Sales Grande,reservado
61408,80840-979,9633,Edifício,Odit hic.,Duarte,alugado
42378,90884746,8740,Casa,Enim dolorum.,Novaes,disponível
79586,60668781,4671,Edifício,Molestiae.,Carvalho,alugado
60595,69922-500,9670,Bloco,At error.,Gomes,reservado
8408,35274581,2234,Edifício,Facere corporis.,Ferreira de Sousa,alugado
19035,89967-592,6429,Casa,Repudiandae esse.,Siqueira,reservado
40679,84416-352,6967,Apto,Id facere.,Barros,reservado
24870,45545588,3578,Apto,Dicta porro.,Melo de Minas,disponível
81530,77407-317,9988,Casa,Corporis iure.,Guerra,alugado
34068,30307-424,2125,Casa,Sed laborum.,Porto de Santos,alugado
60747,35626-714,7304,Casa,Odio reiciendis.,Costa de Campos,reservado
21398,10029908,7590,Edifício,Sequi exercitationem.,Costela,disponível
91251,90799-436,8993,Edifício,Animi.,Mendes do Norte,disponível
35638,38085584,6755,Bloco,Ratione saepe.,Oliveira,reservado
74356,44602-443,7472,Bloco,Commodi officiis.,Pacheco dos Dourados,alugado
7623,68242171,3322,Casa,Deleniti dolor.,Macedo de Pinto,reservado
94236,93722436,2469,Edifício,In sunt.,da Mata,disponível
94909,96458795,5149,Apto,Suscipit.,Albuquerque,reservado
87471,68384538,4968,Edifício,Ad.,Barros,reservado
61150,67920519,4590,Bloco,Deleniti sint.,Costela,reservado
18358,11926207,7659,Edifício,Aliquid.,Sales do Amparo,disponível
49216,54149-225,3196,Apto,Vero.,Sá dos Dourados,disponível
82508,21864211,5846,Casa,Quaerat.,Cardoso de Sampaio,reservado
96321,26606-736,4154,Bloco,Adipisci.,Machado,reservado
99658,35120-693,6568,Casa,Quia repellendus.,Ramos de Cavalcante,alugado
78717,68648710,885,Casa,Recusandae voluptatibus.,Cavalcanti,reservado
57913,35924703,9893,Bloco,Dicta pariatur.,Sales da Praia,alugado
47817,47840295,4395,Edifício,Aut repellendus.,Rios do Amparo,alugado
42813,12350333,7858,Edifício,Voluptas.,Novaes do Amparo,alugado
49398,57552-169,9159,Edifício,Ad.,Monteiro,disponível
88954,44646642,5810,Casa,Quam dolor.,Costa,reservado
24878,44726-450,2681,Apto,Mollitia id.,Fernandes,alugado
10582,14198051,7855,Casa,Optio tenetur.,das Neves,alugado
45542,81354353,3762,Casa,Repellendus tenetur.,Nunes Grande,reservado
89291,31346658,1008,Bloco,Nemo.,Campos das Flores,alugado
81477,89048-200,5092,Apto,Voluptates.,Cirino,alugado
4419,68808-758,247,Bloco,Necessitatibus eos.,Mendonça,alugado
20130,60006311,6270,Bloco,Laborum.,da Costa Paulista,alugado
18133,39207214,9499,Edifício,Quam repellat.,Azevedo,reservado
92447,18446928,3661,Casa,Voluptatibus harum.,Castro,alugado
33876,40170297,8347,Bloco,Id.,da Conceição do Sul,disponível
74802,67467312,4231,Bloco,Voluptate quia.,Ramos de Goiás,reservado
99746,52597-314,4883,Bloco,Maiores distinctio.,Casa Grande,reservado
5014,32934096,3381,Apto,Non illum.,Rezende da Praia,alugado
18239,97563-355,8834,Apto,Eum.,Fernandes Grande,alugado
99803,15451-424,4830,Apto,Ipsa.,Pimenta do Amparo,reservado
7629,45954-193,4406,Casa,Neque.,Cirino,reservado
37442,61145-322,9371,Bloco,Distinctio.,Duarte,disponível
92723,79242850,9259,Bloco,Omnis.,Lima Verde,reservado
23717,11937-258,8313,Edifício,Labore.,Moreira Verde,reservado
29713,52304692,2220,Apto,Nobis fuga.,Pimenta,disponível
23193,27418-255,4972,Apto,Officiis.,Gomes,disponível
94934,31340-974,587,Casa,Voluptas amet.,Siqueira,disponível
97835,73254881,5773,Apto,Molestias quas.,Sousa do Sul,reservado
50365,55197-263,6150,Bloco,Molestiae soluta.,Câmara do Norte,reservado
93533,95287-851,2384,Apto,Expedita pariatur.,Monteiro Grande,alugado
76235,87257178,770,Apto,Dicta minima.,Melo de Fernandes,alugado
47824,61742124,8610,Edifício,Debitis possimus.,Silveira,alugado
82437,95382703,8651,Bloco,Porro nam.,Pereira Verde,alugado
21462,73272-242,3030,Apto,Rem.,Carvalho,disponível
49567,31790-480,3895,Bloco,Laudantium maiores.,Albuquerque,alugado
40062,01442-025,8277,Casa,Culpa officiis.,Pinto da Serra,disponível
49686,70638933,583,Casa,Rem.,Ferreira,reservado
36990,76448-941,3422,Apto,Minus tenetur.,Sá,alugado
1640,06084-383,1703,Edifício,Natus totam.,Borges do Oeste,disponível
